,1m,3m,15m,time,EMA123,EMA263,EMA121,EMA261,EMA1215,EMA2615,DEA1,DEA3,DEA15
0,0.0,0.0,0.0,1900-01-01 12:57:00,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
1,0.0,0.0,0.0,1900-01-01 12:57:01,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
2,0.0,0.0,0.0,1900-01-01 12:57:02,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
3,0.0,0.0,0.0,1900-01-01 12:57:03,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
4,0.0,0.0,0.0,1900-01-01 12:57:04,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
5,0.0,0.0,0.0,1900-01-01 12:57:05,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
6,0.0,0.0,0.0,1900-01-01 12:57:06,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
7,0.0,0.0,0.0,1900-01-01 12:57:07,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
8,0.0,0.0,0.0,1900-01-01 12:57:08,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
9,0.0,0.0,0.0,1900-01-01 12:57:09,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
10,0.0,0.0,0.0,1900-01-01 12:57:10,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
11,0.0,0.0,0.0,1900-01-01 12:57:11,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
12,0.0,0.0,0.0,1900-01-01 12:57:12,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
13,0.0,0.0,0.0,1900-01-01 12:57:13,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
14,0.0,0.0,0.0,1900-01-01 12:57:14,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
15,0.0,0.0,0.0,1900-01-01 12:57:15,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
16,0.0,0.0,0.0,1900-01-01 12:57:16,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
17,0.0,0.0,0.0,1900-01-01 12:57:17,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
18,0.0,0.0,0.0,1900-01-01 12:57:18,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
19,0.0,0.0,0.0,1900-01-01 12:57:19,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
20,0.0,0.0,0.0,1900-01-01 12:57:20,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
21,0.0,0.0,0.0,1900-01-01 12:57:21,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
22,0.0,0.0,0.0,1900-01-01 12:57:22,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
23,0.0,0.0,0.0,1900-01-01 12:57:23,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
24,0.0,0.0,0.0,1900-01-01 12:57:24,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
25,0.0,0.0,0.0,1900-01-01 12:57:25,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
26,0.0,0.0,0.0,1900-01-01 12:57:26,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
27,0.0,0.0,0.0,1900-01-01 12:57:27,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
28,0.0,0.0,0.0,1900-01-01 12:57:28,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
29,0.0,0.0,0.0,1900-01-01 12:57:29,47.7,47.7,47.7,47.7,47.7,47.7,0.0,0.0,0.0
