,0,1,2,3
0,1900-01-01 12:57:00,47.70,red,1
1,1900-01-01 12:57:27,47.70,red,1
2,1900-01-01 12:57:36,47.69,green,4
3,1900-01-01 12:57:42,47.69,green,1
4,1900-01-01 12:58:00,47.70,red,2
5,1900-01-01 12:58:20,47.69,green,1
6,1900-01-01 12:58:26,47.69,green,1
7,1900-01-01 12:58:35,47.70,red,1
8,1900-01-01 12:58:42,47.69,green,1
9,1900-01-01 12:59:00,47.70,red,3
10,1900-01-01 12:59:42,47.70,red,1
11,1900-01-01 12:59:56,47.70,red,44
12,1900-01-01 12:59:58,47.71,red,5
13,1900-01-01 13:00:00,47.70,green,31
14,1900-01-01 13:00:07,47.70,red,1
15,1900-01-01 13:00:22,47.70,red,3
16,1900-01-01 13:00:37,47.70,red,1
17,1900-01-01 13:00:40,47.70,red,1
18,1900-01-01 13:01:00,47.69,green,1
19,1900-01-01 13:01:18,47.70,red,1
20,1900-01-01 13:01:18,47.70,red,6
21,1900-01-01 13:01:18,47.70,red,5
22,1900-01-01 13:01:19,47.70,red,40
23,1900-01-01 13:01:20,47.70,red,1
24,1900-01-01 13:01:26,47.70,red,4
25,1900-01-01 13:01:27,47.71,red,1
26,1900-01-01 13:01:35,47.70,green,8
27,1900-01-01 13:01:39,47.70,red,1
28,1900-01-01 13:01:41,47.70,red,2
29,1900-01-01 13:01:42,47.70,red,2
30,1900-01-01 13:01:43,47.70,red,1
31,1900-01-01 13:01:51,47.70,red,6
32,1900-01-01 13:01:51,47.70,green,10
33,1900-01-01 13:01:54,47.69,green,1
34,1900-01-01 13:02:00,47.70,red,1
35,1900-01-01 13:02:06,47.70,red,1
36,1900-01-01 13:02:12,47.70,red,1
37,1900-01-01 13:02:15,47.70,red,1
38,1900-01-01 13:02:48,47.70,red,1
39,1900-01-01 13:03:00,47.69,green,1
40,1900-01-01 13:03:01,47.69,green,1
41,1900-01-01 13:03:06,47.70,red,1
42,1900-01-01 13:03:26,47.70,red,8
43,1900-01-01 13:03:30,47.70,red,1
44,1900-01-01 13:03:40,47.69,green,1
45,1900-01-01 13:03:40,47.69,green,1
46,1900-01-01 13:03:53,47.70,red,10
47,1900-01-01 13:03:53,47.70,red,4
48,1900-01-01 13:03:56,47.70,green,1
49,1900-01-01 13:03:57,47.70,green,18
50,1900-01-01 13:04:00,47.70,green,2
51,1900-01-01 13:04:03,47.69,green,8
52,1900-01-01 13:04:08,47.69,green,1
53,1900-01-01 13:04:16,47.69,green,3
54,1900-01-01 13:04:20,47.69,green,2
55,1900-01-01 13:04:47,47.69,green,1
56,1900-01-01 13:05:00,47.70,red,1
57,1900-01-01 13:05:04,47.70,red,1
58,1900-01-01 13:05:06,47.70,red,1
59,1900-01-01 13:05:10,47.70,red,1
60,1900-01-01 13:05:15,47.69,green,1
61,1900-01-01 13:05:39,47.69,green,1
62,1900-01-01 13:05:51,47.70,red,1
63,1900-01-01 13:06:00,47.69,green,42
64,1900-01-01 13:06:27,47.68,green,8
65,1900-01-01 13:06:29,47.69,red,41
66,1900-01-01 13:06:30,47.69,green,1
67,1900-01-01 13:06:32,47.70,red,1
68,1900-01-01 13:06:34,47.70,red,2
69,1900-01-01 13:06:39,47.70,red,1
70,1900-01-01 13:06:43,47.69,green,1
71,1900-01-01 13:06:46,47.69,green,20
72,1900-01-01 13:06:47,47.68,green,30
73,1900-01-01 13:06:48,47.68,green,2
74,1900-01-01 13:06:53,47.69,red,1
75,1900-01-01 13:07:00,47.68,green,1
