,1m,3m,15m,time
0,,,,1900-01-01 12:57:00
1,,,,1900-01-01 12:57:01
2,,,,1900-01-01 12:57:02
3,,,,1900-01-01 12:57:03
4,,,,1900-01-01 12:57:04
5,,,,1900-01-01 12:57:05
6,,,,1900-01-01 12:57:06
7,,,,1900-01-01 12:57:07
8,,,,1900-01-01 12:57:08
9,,,,1900-01-01 12:57:09
10,,,,1900-01-01 12:57:10
11,,,,1900-01-01 12:57:11
12,,,,1900-01-01 12:57:12
13,,,,1900-01-01 12:57:13
14,,,,1900-01-01 12:57:14
15,,,,1900-01-01 12:57:15
16,,,,1900-01-01 12:57:16
17,,,,1900-01-01 12:57:17
18,,,,1900-01-01 12:57:18
19,,,,1900-01-01 12:57:19
20,,,,1900-01-01 12:57:20
21,,,,1900-01-01 12:57:21
22,,,,1900-01-01 12:57:22
23,,,,1900-01-01 12:57:23
24,,,,1900-01-01 12:57:24
25,,,,1900-01-01 12:57:25
26,,,,1900-01-01 12:57:26
27,,,,1900-01-01 12:57:27
28,,,,1900-01-01 12:57:28
29,,,,1900-01-01 12:57:29
30,,,,1900-01-01 12:57:30
31,,,,1900-01-01 12:57:31
32,,,,1900-01-01 12:57:32
33,,,,1900-01-01 12:57:33
34,,,,1900-01-01 12:57:34
35,,,,1900-01-01 12:57:35
36,,,,1900-01-01 12:57:36
37,,,,1900-01-01 12:57:37
38,,,,1900-01-01 12:57:38
39,,,,1900-01-01 12:57:39
40,,,,1900-01-01 12:57:40
41,,,,1900-01-01 12:57:41
42,,,,1900-01-01 12:57:42
43,,,,1900-01-01 12:57:43
44,,,,1900-01-01 12:57:44
45,,,,1900-01-01 12:57:45
46,,,,1900-01-01 12:57:46
47,,,,1900-01-01 12:57:47
48,,,,1900-01-01 12:57:48
49,,,,1900-01-01 12:57:49
50,,,,1900-01-01 12:57:50
51,,,,1900-01-01 12:57:51
52,,,,1900-01-01 12:57:52
53,,,,1900-01-01 12:57:53
54,,,,1900-01-01 12:57:54
55,,,,1900-01-01 12:57:55
56,,,,1900-01-01 12:57:56
57,,,,1900-01-01 12:57:57
58,,,,1900-01-01 12:57:58
59,,,,1900-01-01 12:57:59
60,,,,1900-01-01 12:58:00
61,,,,1900-01-01 12:58:01
62,,,,1900-01-01 12:58:02
63,,,,1900-01-01 12:58:03
64,,,,1900-01-01 12:58:04
65,,,,1900-01-01 12:58:05
66,,,,1900-01-01 12:58:06
67,,,,1900-01-01 12:58:07
68,,,,1900-01-01 12:58:08
69,,,,1900-01-01 12:58:09
70,,,,1900-01-01 12:58:10
71,,,,1900-01-01 12:58:11
72,,,,1900-01-01 12:58:12
73,,,,1900-01-01 12:58:13
74,,,,1900-01-01 12:58:14
75,,,,1900-01-01 12:58:15
76,,,,1900-01-01 12:58:16
77,,,,1900-01-01 12:58:17
78,,,,1900-01-01 12:58:18
79,,,,1900-01-01 12:58:19
80,,,,1900-01-01 12:58:20
81,,,,1900-01-01 12:58:21
82,,,,1900-01-01 12:58:22
83,,,,1900-01-01 12:58:23
84,,,,1900-01-01 12:58:24
85,,,,1900-01-01 12:58:25
86,,,,1900-01-01 12:58:26
87,,,,1900-01-01 12:58:27
88,,,,1900-01-01 12:58:28
89,,,,1900-01-01 12:58:29
90,,,,1900-01-01 12:58:30
91,,,,1900-01-01 12:58:31
92,,,,1900-01-01 12:58:32
93,,,,1900-01-01 12:58:33
94,,,,1900-01-01 12:58:34
95,,,,1900-01-01 12:58:35
96,,,,1900-01-01 12:58:36
97,,,,1900-01-01 12:58:37
98,,,,1900-01-01 12:58:38
99,,,,1900-01-01 12:58:39
100,,,,1900-01-01 12:58:40
101,,,,1900-01-01 12:58:41
102,,,,1900-01-01 12:58:42
103,,,,1900-01-01 12:58:43
104,,,,1900-01-01 12:58:44
105,,,,1900-01-01 12:58:45
106,,,,1900-01-01 12:58:46
107,,,,1900-01-01 12:58:47
108,,,,1900-01-01 12:58:48
109,,,,1900-01-01 12:58:49
110,,,,1900-01-01 12:58:50
111,,,,1900-01-01 12:58:51
112,,,,1900-01-01 12:58:52
113,,,,1900-01-01 12:58:53
114,,,,1900-01-01 12:58:54
115,,,,1900-01-01 12:58:55
116,,,,1900-01-01 12:58:56
117,,,,1900-01-01 12:58:57
118,,,,1900-01-01 12:58:58
119,,,,1900-01-01 12:58:59
120,,,,1900-01-01 12:59:00
121,,,,1900-01-01 12:59:01
122,,,,1900-01-01 12:59:02
123,,,,1900-01-01 12:59:03
124,,,,1900-01-01 12:59:04
125,,,,1900-01-01 12:59:05
126,,,,1900-01-01 12:59:06
127,,,,1900-01-01 12:59:07
128,,,,1900-01-01 12:59:08
129,,,,1900-01-01 12:59:09
130,,,,1900-01-01 12:59:10
131,,,,1900-01-01 12:59:11
132,,,,1900-01-01 12:59:12
133,,,,1900-01-01 12:59:13
134,,,,1900-01-01 12:59:14
135,,,,1900-01-01 12:59:15
136,,,,1900-01-01 12:59:16
137,,,,1900-01-01 12:59:17
138,,,,1900-01-01 12:59:18
139,,,,1900-01-01 12:59:19
140,,,,1900-01-01 12:59:20
141,,,,1900-01-01 12:59:21
142,,,,1900-01-01 12:59:22
143,,,,1900-01-01 12:59:23
144,,,,1900-01-01 12:59:24
145,,,,1900-01-01 12:59:25
146,,,,1900-01-01 12:59:26
147,,,,1900-01-01 12:59:27
148,,,,1900-01-01 12:59:28
149,,,,1900-01-01 12:59:29
150,,,,1900-01-01 12:59:30
151,,,,1900-01-01 12:59:31
152,,,,1900-01-01 12:59:32
153,,,,1900-01-01 12:59:33
154,,,,1900-01-01 12:59:34
155,,,,1900-01-01 12:59:35
156,,,,1900-01-01 12:59:36
157,,,,1900-01-01 12:59:37
158,,,,1900-01-01 12:59:38
159,,,,1900-01-01 12:59:39
160,,,,1900-01-01 12:59:40
161,,,,1900-01-01 12:59:41
162,,,,1900-01-01 12:59:42
163,,,,1900-01-01 12:59:43
164,,,,1900-01-01 12:59:44
165,,,,1900-01-01 12:59:45
166,,,,1900-01-01 12:59:46
167,,,,1900-01-01 12:59:47
168,,,,1900-01-01 12:59:48
169,,,,1900-01-01 12:59:49
170,,,,1900-01-01 12:59:50
171,,,,1900-01-01 12:59:51
172,,,,1900-01-01 12:59:52
173,,,,1900-01-01 12:59:53
174,,,,1900-01-01 12:59:54
175,,,,1900-01-01 12:59:55
176,,,,1900-01-01 12:59:56
177,,,,1900-01-01 12:59:57
178,,,,1900-01-01 12:59:58
179,,,,1900-01-01 12:59:59
180,,,,1900-01-01 13:00:00
181,,,,1900-01-01 13:00:01
182,,,,1900-01-01 13:00:02
183,,,,1900-01-01 13:00:03
184,,,,1900-01-01 13:00:04
185,,,,1900-01-01 13:00:05
186,,,,1900-01-01 13:00:06
187,,,,1900-01-01 13:00:07
188,,,,1900-01-01 13:00:08
189,,,,1900-01-01 13:00:09
190,,,,1900-01-01 13:00:10
191,,,,1900-01-01 13:00:11
192,,,,1900-01-01 13:00:12
193,,,,1900-01-01 13:00:13
194,,,,1900-01-01 13:00:14
195,,,,1900-01-01 13:00:15
196,,,,1900-01-01 13:00:16
197,,,,1900-01-01 13:00:17
198,,,,1900-01-01 13:00:18
199,,,,1900-01-01 13:00:19
200,,,,1900-01-01 13:00:20
201,,,,1900-01-01 13:00:21
202,,,,1900-01-01 13:00:22
203,,,,1900-01-01 13:00:23
204,,,,1900-01-01 13:00:24
205,,,,1900-01-01 13:00:25
206,,,,1900-01-01 13:00:26
207,,,,1900-01-01 13:00:27
208,,,,1900-01-01 13:00:28
209,,,,1900-01-01 13:00:29
210,,,,1900-01-01 13:00:30
211,,,,1900-01-01 13:00:31
212,,,,1900-01-01 13:00:32
213,,,,1900-01-01 13:00:33
214,,,,1900-01-01 13:00:34
215,,,,1900-01-01 13:00:35
216,,,,1900-01-01 13:00:36
217,,,,1900-01-01 13:00:37
218,,,,1900-01-01 13:00:38
219,,,,1900-01-01 13:00:39
220,,,,1900-01-01 13:00:40
221,,,,1900-01-01 13:00:41
222,,,,1900-01-01 13:00:42
